Exercise Name,Home Category,Sub Category,Exercise Type,Laterality,Primary Muscles (1.00),Secondary Muscles (0.50),Tertiary Muscles (0.25),Quaternary Muscles (0.125),Fatigue Score,Estimated Recovery Window,Progressive Overload Potential,Stability,Hypertrophy Potential,Stimulus-to-Fatigue Ratio (SFR),Stretch-Mediated Hypertrophy,Resistance Profile,Stability Requirement,Axial Loading,Skill Requirement,Recommended Rest Time,Notes,Video URL,Thumbnail
Assisted Chest Dip,Chest,,Compound,Bilateral,Lower Chest,"Triceps:0.75, Front Delts, Middle Chest",,,3,48-72 hours,Moderate,Moderate,High,Average,No,Balanced,Free Weight,No,Moderate,2-3 minutes,,,
Flat Bench Press,Chest,,Compound,Bilateral,Middle Chest,"Triceps:0.75, Upper Chest, Lower Chest, Front Delts:0.75",,,3,48-72 hours,High,Moderate,High,Good,Partial,Lengthened Bias,Free Weight,No,Moderate,3.5-5 minutes,Arching and grip width shift bias between Middle Chest and Triceps.,,
Cable Crossover,Chest,,Isolation,Can Be Both,Middle Chest,"Front Delts, Upper Chest, Lower Chest",,,3,48-72 hours,Moderate,Moderate,High,Good,No,Balanced,Cable,No,Moderate,2-3 minutes,,,
Chest Dips,Chest,,Compound,Bilateral,Lower Chest,"Triceps:0.75, Front Delts, Middle Chest",,,3,48-72 hours,Moderate,Moderate,High,Average,No,Balanced,Free Weight,No,Moderate,3.5-5 minutes,,,
Chest Press Machine,Chest,,Compound,Bilateral,Middle Chest,"Triceps:0.75, Upper Chest, Lower Chest, Front Delts:0.75",,,3,36-60 hours,High,Very Stable,Excellent,Good,No,Balanced,Machine,No,Moderate,3-4 minutes,,,
Close Grip Bench Press,Chest,,Compound,Bilateral,"Middle Chest, Triceps","Upper Chest, Lower Chest",,,3,48-72 hours,High,Moderate,High,Good,Partial,Lengthened Bias,Free Weight,No,Moderate,3.5-5 minutes,Arching and grip width shift bias between Middle Chest and Triceps.,,
Close-Grip Incline Push-Up,Chest,,Compound,Bilateral,"Triceps, Lower Chest","Front Delts, Middle Chest, Upper Chest",Rectus Abdominis,,1,24-48 hours,Low,Moderate,Low,Average,No,Balanced,Bodyweight,No,Low,2-3 minutes,,,
Close-Grip Knee Push-Up,Chest,,Compound,Bilateral,"Triceps, Middle Chest","Front Delts, Upper Chest, Lower Chest",,,1,24-48 hours,Low,Stable,Low,Average,No,Balanced,Bodyweight,No,Low,2-3 minutes,,,
Close-Grip Push-Up,Chest,,Compound,Bilateral,"Triceps, Middle Chest","Front Delts, Upper Chest, Lower Chest",Rectus Abdominis,,1,24-48 hours,Low,Moderate,High,Good,No,Balanced,Bodyweight,No,Low,2-3 minutes,,,
Dumbbell Bench Press,Chest,,Compound,Bilateral,Middle Chest,"Triceps:0.75, Upper Chest, Lower Chest, Front Delts:0.75",,,3,48-72 hours,High,Moderate,High,Good,Partial,Lengthened Bias,Free Weight,No,Moderate,3.5-5 minutes,Arching and grip width shift bias between Middle Chest and Triceps.,,
Dumbbell Floor Press,Chest,,Compound,Bilateral,"Middle Chest, Triceps","Front Delts, Upper Chest, Lower Chest",,,2,24-48 hours,High,Stable,High,Good,No,Balanced,Free Weight,No,Low,2-3 minutes,"Limits ROM, emphasizes triceps and lock-out",,
Dumbbell Floor Press (Neutral Grip),Chest,,Compound,Bilateral,"Triceps, Middle Chest","Front Delts, Upper Chest, Lower Chest",,,2,24-48 hours,High,Stable,High,Good,No,Balanced,Free Weight,No,Low,2-3 minutes,,,
Dumbbell Fly,Chest,,Isolation,Can Be Both,Middle Chest,"Front Delts, Upper Chest, Lower Chest",,,1,24-48 hours,Moderate,Moderate,High,Good,No,Shortened Bias,Free Weight,No,Moderate,2-3 minutes,,,
Dumbbell Pullover,Chest,,Isolation,Bilateral,"Middle Chest:0.75, Lower Chest:0.75, Lats:0.75","Triceps, Serratus Anterior",,,3,48-72 hours,Moderate,Moderate,High,Good,Yes,Lengthened Bias,Free Weight,No,Moderate,2-3 minutes,,,
High Cable Crossover,Chest,,Isolation,Can Be Both,Upper Chest,"Front Delts:0.75, Middle Chest",Lower Chest,,3,48-72 hours,Moderate,Moderate,High,Good,No,Balanced,Cable,No,Moderate,2-3 minutes,,,
High-to-Low Cable Fly,Chest,,Isolation,Can Be Both,Lower Chest,Middle Chest:0.75,"Upper Chest, Front Delts",,1,24-48 hours,High,Moderate,Excellent,Excellent,Yes,Lengthened Bias,Cable,No,Low,2-3 minutes,,,
Incline Barbell Bench Press,Chest,,Compound,Bilateral,Upper Chest,"Triceps:0.75, Middle Chest, Front Delts:0.75",Lower Chest,,3,48-72 hours,Very High,Moderate,High,Good,Partial,Lengthened Bias,Free Weight,No,Moderate,3.5-5 minutes,,,
Incline Chest Fly Machine,Chest,,Isolation,Can Be Both,Upper Chest,"Front Delts:0.75, Middle Chest",Lower Chest,,1,24-48 hours,High,Very Stable,Excellent,Excellent,Yes,Balanced,Machine,No,Moderate,2-3 minutes,,,
Incline Dumbbell Fly,Chest,,Isolation,Can Be Both,Upper Chest,"Front Delts:0.75, Middle Chest",Lower Chest,,1,24-48 hours,Moderate,Moderate,High,Good,No,Shortened Bias,Free Weight,No,Moderate,2-3 minutes,,,
Incline Dumbbell Press,Chest,,Compound,Bilateral,Upper Chest,"Triceps:0.75, Middle Chest, Front Delts:0.75",Lower Chest,,3,48-72 hours,High,Moderate,High,Average,No,Balanced,Free Weight,No,Moderate,3.5-5 minutes,,,
Incline Push-Up,Chest,,Compound,Bilateral,Lower Chest,"Middle Chest:0.75, Triceps:0.75","Upper Chest, Front Delts, Rectus Abdominis",,1,24-48 hours,Low,Moderate,Low,Average,No,Balanced,Bodyweight,No,Low,2-3 minutes,Regressed push-up variation,,
Knee Push-Up,Chest,,Compound,Bilateral,Middle Chest,"Triceps:0.75, Upper Chest, Lower Chest, Front Delts:0.75",,,1,24-48 hours,Low,Stable,Low,Average,No,Balanced,Bodyweight,No,Low,2-3 minutes,Regressed push-up variation,,
Low Cable Crossover,Chest,,Isolation,Can Be Both,Lower Chest,Middle Chest:0.75,"Upper Chest, Front Delts",,3,48-72 hours,Moderate,Moderate,High,Good,No,Balanced,Cable,No,Moderate,2-3 minutes,,,
Low-to-High Cable Fly,Chest,,Isolation,Can Be Both,Upper Chest,"Front Delts:0.75, Middle Chest",Lower Chest,,1,24-48 hours,High,Moderate,Excellent,Excellent,Yes,Lengthened Bias,Cable,No,Low,2-3 minutes,,,
Lying Chest Press Machine,Chest,,Compound,Bilateral,Middle Chest,"Triceps:0.75, Upper Chest, Lower Chest, Front Delts:0.75",,,3,36-60 hours,High,Very Stable,Excellent,Good,No,Balanced,Machine,No,Moderate,3-4 minutes,,,
Machine Chest Press,Chest,,Compound,Can Be Both,Middle Chest,"Triceps:0.75, Upper Chest, Lower Chest, Front Delts:0.75",,,2,24-48 hours,High,Very Stable,Excellent,Excellent,Partial,Balanced,Machine,No,Low,2-3 minutes,,,
Pec Deck Fly,Chest,,Isolation,Can Be Both,Middle Chest,"Front Delts, Upper Chest, Lower Chest",,,1,24-48 hours,Moderate,Very Stable,Excellent,Excellent,Yes,Shortened Bias,Machine,No,Moderate,2-3 minutes,,,
Plate-Loaded Incline Chest Press,Chest,,Compound,Bilateral,Upper Chest,"Front Delts:0.75, Triceps:0.75, Middle Chest",Lower Chest,,2,24-48 hours,Very High,Very Stable,Excellent,Excellent,Partial,Balanced,Machine,No,Low,2-3 minutes,Maximal tension yield with low injury risk,,
Push-Up,Chest,,Compound,Bilateral,Middle Chest,"Triceps:0.75, Upper Chest, Lower Chest, Front Delts:0.75",,,3,48-72 hours,Low,Moderate,High,Average,No,Balanced,Bodyweight,No,Moderate,2-3 minutes,,,
Smith Machine Bench Press,Chest,,Compound,Bilateral,Middle Chest,"Triceps:0.75, Upper Chest, Lower Chest, Front Delts:0.75",,,3,36-60 hours,Very High,Very Stable,Excellent,Good,Partial,Balanced,Machine,No,Moderate,3-4 minutes,Arching and grip width shift bias between Middle Chest and Triceps.,,
Smith Machine Incline Bench Press,Chest,,Compound,Bilateral,Upper Chest,"Triceps:0.75, Middle Chest, Front Delts:0.75",Lower Chest,,3,36-60 hours,Very High,Very Stable,Excellent,Good,Partial,Balanced,Machine,No,Moderate,3-4 minutes,,,
Weighted Chest Dips,Chest,,Compound,Bilateral,Lower Chest,"Front Delts, Triceps:0.75, Middle Chest",Rectus Abdominis,,2,24-48 hours,High,Moderate,Excellent,Good,Yes,Balanced,Free Weight,No,Moderate,2-3 minutes,High mechanical tension with external load,,
Wide Grip Bench Press,Chest,,Compound,Bilateral,Middle Chest,"Triceps:0.75, Upper Chest, Lower Chest, Front Delts:0.75",,,3,48-72 hours,High,Moderate,High,Good,Partial,Lengthened Bias,Free Weight,No,Moderate,3.5-5 minutes,Arching and grip width shift bias between Middle Chest and Triceps.,,
Incline Cable Fly,Chest,,Isolation,Can Be Both,Upper Chest,"Front Delts:0.75, Middle Chest",Lower Chest,,1,24-48 hours,Moderate,Moderate,High,Excellent,No,Balanced,Cable,No,Moderate,2-3 minutes,,,
Single-Arm Cable Crossover,Chest,,Isolation,Unilateral,Middle Chest,"Front Delts, Upper Chest, Lower Chest",,,3,48-72 hours,Moderate,Moderate,High,Good,No,Balanced,Cable,No,Moderate,2-3 minutes,,,
Push-Up With Bands,Chest,,Compound,Bilateral,Middle Chest,"Triceps:0.75, Upper Chest, Lower Chest, Front Delts:0.75",,,3,48-72 hours,High,Moderate,Excellent,Good,No,Balanced,Resistance Band,No,Moderate,2-3 minutes,"Band looped across the upper back adds resistance bodyweight alone cannot provide, giving a progressive overload path at home",,
Knee Push-Up With Bands,Chest,,Compound,Bilateral,Middle Chest,"Triceps:0.75, Upper Chest, Lower Chest, Front Delts:0.75",,,1,24-48 hours,Moderate,Stable,Moderate,Good,No,Balanced,Resistance Band,No,Low,2-3 minutes,Regressed push-up variation; band gives a progression step before a full Push-Up With Bands,,
Incline Push-Up With Bands,Chest,,Compound,Bilateral,Lower Chest,"Middle Chest:0.75, Triceps:0.75","Upper Chest, Front Delts, Rectus Abdominis",,1,24-48 hours,Moderate,Moderate,Moderate,Good,No,Balanced,Resistance Band,No,Low,2-3 minutes,Regressed push-up variation; band adds resistance for continued progression,,
Close-Grip Push-Up With Bands,Chest,,Compound,Bilateral,"Triceps, Middle Chest","Front Delts, Upper Chest, Lower Chest",Rectus Abdominis,,1,24-48 hours,High,Moderate,Excellent,Good,No,Balanced,Resistance Band,No,Low,2-3 minutes,,,
Pull Up - Overhand Grip,Back,,Compound,Bilateral,Lats,"Biceps, Rhomboids:0.25","Rear Delts, Upper Traps:0.125",,3,48-72 hours,Moderate,Moderate,High,Average,Partial,Balanced,Free Weight,No,Moderate,3.5-5 minutes,,,
"Pull Up - Overhand Grip, Weighted",Back,,Compound,Bilateral,Lats,"Biceps, Rhomboids:0.25","Rear Delts, Upper Traps:0.125",,3,48-72 hours,Moderate,Moderate,High,Average,Partial,Balanced,Free Weight,No,Moderate,3.5-5 minutes,,,
Chin-Up,Back,,Compound,Bilateral,Lats,Biceps,"Rhomboids, Upper Traps:0.125",,3,48-72 hours,Moderate,Moderate,High,Average,Partial,Balanced,Free Weight,No,Moderate,3.5-5 minutes,,,
Chin-Up - Close Grip,Back,,Compound,Bilateral,Lats,Biceps,"Rhomboids, Upper Traps:0.125",,3,48-72 hours,Moderate,Moderate,High,Average,No,Balanced,Free Weight,No,Moderate,3.5-5 minutes,,,
Lat Pulldown - Overhand Grip,Back,,Compound,Bilateral,Lats,"Biceps, Rhomboids:0.25","Rear Delts, Upper Traps:0.125",,3,48-72 hours,High,Moderate,High,Good,No,Balanced,Machine,No,Moderate,3.5-5 minutes,,,
Seated Row Machine,Back,,Compound,Bilateral,Mid Back,Biceps,"Rear Delts, Upper Traps",,3,36-60 hours,High,Very Stable,Excellent,Good,Partial,Balanced,Machine,No,Moderate,3-4 minutes,"Elbow flare determines bias: tucked = Lats, flared = Upper Back/Rear Delts.",,
Barbell Bent Over Row,Back,,Compound,Bilateral,Mid Back,Lats,"Rear Delts, Upper Traps",,3,48-72 hours,Very High,Moderate,High,Average,Partial,Shortened Bias,Free Weight,No,Moderate,3.5-5 minutes,"Elbow flare determines bias: tucked = Lats, flared = Upper Back/Rear Delts.",,
Chest Supported T-Bar Row,Back,,Compound,Bilateral,Mid Back,Lats,"Rear Delts, Upper Traps",,3,48-72 hours,High,Stable,Excellent,Average,Partial,Shortened Bias,Free Weight,No,Moderate,3.5-5 minutes,"Elbow flare determines bias: tucked = Lats, flared = Upper Back/Rear Delts.",,
Deadlift,Back,,Compound,Bilateral,Full Back,"Glute Max, Hamstrings",Upper Traps,,5,72-120 hours,Very High,Moderate,High,Poor,No,Balanced,Free Weight,Yes,High,4-7 minutes,,,
Weighted Roman Chair Back Extension,Back,,Compound,Bilateral,Spinal Erectors,"Glute Max, Hamstrings",,,3,48-72 hours,High,Stable,Excellent,Good,Yes,Lengthened Bias,Machine,No,Moderate,3-4 minutes,"Use a barbell across shoulders or hold a plate/dumbbell. Focus on spinal extension/flexion for erectors, or keep spine rigid to bias glutes/hamstrings.",,
Seated Cable Row,Back,,Compound,Can Be Both,Mid Back,Biceps,"Rear Delts, Upper Traps",,3,48-72 hours,High,Stable,High,Good,Partial,Balanced,Cable,No,Moderate,3.5-5 minutes,"Elbow flare determines bias: tucked = Lats, flared = Upper Back/Rear Delts.",,
Close Grip Cable Row,Back,,Compound,Can Be Both,Mid Back,Biceps,"Rear Delts, Upper Traps",,3,48-72 hours,High,Stable,High,Good,Partial,Balanced,Cable,No,Moderate,3.5-5 minutes,"Elbow flare determines bias: tucked = Lats, flared = Upper Back/Rear Delts.",,
Cable One Arm Lat Pulldown,Back,,Isolation,Unilateral,Lats,Biceps,Rear Delts,,3,48-72 hours,High,Stable,High,Good,No,Balanced,Cable,No,Moderate,3.5-5 minutes,Grip width and torso angle dictate Lat vs Upper Back involvement.,,
Braced Single Arm Cable Pulldown,Back,,Compound,Unilateral,Lats,Biceps,Lower Traps,,2,48-72 hours,High,Very Stable,Excellent,Excellent,Yes,Balanced,Cable,No,Moderate,2-3 minutes,Underhand/neutral grip with non-working hand bracing against a bench. Exceptional lat isolation.,,
Weighted Muscle-Up,Back,,Compound,Bilateral,Lats,Biceps,"Rear Delts, Upper Traps",,3,48-72 hours,Low,Highly Unstable,Moderate,Poor,No,Balanced,Bodyweight,No,Very High,3.5-5 minutes,,,
Band Assisted Muscle-Up,Back,,Compound,Bilateral,Lats,Biceps,"Rear Delts, Upper Traps",,2,24-48 hours,Low,Highly Unstable,Moderate,Poor,No,Balanced,Bodyweight,No,Very High,3-4 minutes,,,
"TRX Row, Neutral Grip",Back,,Compound,Bilateral,"Lats, Mid Back:0.5","Biceps, Upper Traps:0.25","Rear Delts, Rectus Abdominis",,2,24-48 hours,Low,Moderate,Moderate,Good,No,Balanced,Bodyweight,No,Low,2-3 minutes,,,
"TRX Row, Underhand Grip",Back,,Compound,Bilateral,Lats,"Biceps, Mid Back","Upper Traps, Rectus Abdominis",,2,24-48 hours,Low,Moderate,Moderate,Good,No,Balanced,Bodyweight,No,Low,2-3 minutes,,,
"TRX Row, Overhand Grip",Back,,Compound,Bilateral,"Mid Back, Upper Traps:0.25","Rear Delts, Lats","Biceps, Rectus Abdominis",,2,24-48 hours,Low,Moderate,Moderate,Good,No,Balanced,Bodyweight,No,Low,2-3 minutes,,,
Bent Over Row With Bands,Back,,Compound,Bilateral,"Lats, Mid Back:0.5","Biceps, Upper Traps:0.25",Spinal Erectors,,1,24-48 hours,Moderate,Moderate,Low,Average,No,Balanced,Resistance Band,No,Low,2-3 minutes,,,
Seated Row With Bands,Back,,Compound,Bilateral,"Lats, Mid Back:0.5","Biceps, Upper Traps:0.25",,,1,24-48 hours,Moderate,Moderate,Low,Average,No,Balanced,Resistance Band,No,Low,2-3 minutes,,,
"Bent Over Barbell Row, Underhand Grip",Back,,Compound,Bilateral,Lats,"Biceps, Mid Back","Upper Traps, Spinal Erectors",,3,48-72 hours,Very High,Moderate,High,Average,No,Shortened Bias,Free Weight,No,High,3.5-5 minutes,High axial loading,,
T-Bar Row,Back,,Compound,Bilateral,"Mid Back, Lats:0.5","Upper Traps:0.25, Rear Delts","Biceps, Spinal Erectors",,3,48-72 hours,Very High,Moderate,Excellent,Average,Partial,Shortened Bias,Free Weight,No,Moderate,3.5-5 minutes,High mechanical tension,,
"Bent Over Dumbbell Row, Overhand Grip",Back,,Compound,Bilateral,"Mid Back, Lats:0.5","Upper Traps:0.25, Rear Delts","Biceps, Spinal Erectors",,3,48-72 hours,High,Moderate,High,Good,No,Shortened Bias,Free Weight,No,Moderate,3.5-5 minutes,,,
"Bent Over Dumbbell Row, Neutral Grip",Back,,Compound,Bilateral,"Lats, Mid Back:0.5","Biceps, Upper Traps:0.25",Spinal Erectors,,3,48-72 hours,High,Moderate,High,Good,No,Shortened Bias,Free Weight,No,Moderate,3.5-5 minutes,,,
Kettlebell Bent Over Row,Back,,Compound,Bilateral,"Lats, Mid Back:0.5","Biceps, Upper Traps:0.25",Spinal Erectors,,3,48-72 hours,Moderate,Moderate,High,Good,No,Shortened Bias,Free Weight,No,Moderate,3.5-5 minutes,,,
Single Arm Dumbbell Row,Back,,Compound,Unilateral,"Lats, Mid Back:0.5","Biceps, Upper Traps:0.25",Rear Delts,,3,48-72 hours,Very High,Moderate,Excellent,Good,Yes,Shortened Bias,Free Weight,No,Moderate,3.5-5 minutes,Great for deep stretch,,
Single Arm Landmine Row,Back,,Compound,Unilateral,"Lats, Mid Back:0.5","Biceps, Upper Traps:0.25",Rear Delts,,2,24-48 hours,High,Moderate,Excellent,Good,Yes,Shortened Bias,Free Weight,No,Moderate,2-3 minutes,,,
"Chest Supported Barbell Row, Overhand Grip",Back,,Compound,Bilateral,"Mid Back, Upper Traps:0.25","Rear Delts, Lats",Biceps,,3,48-72 hours,High,Stable,Excellent,Good,No,Shortened Bias,Free Weight,No,Low,3.5-5 minutes,Zero axial loading,,
"Chest Supported Barbell Row, Underhand Grip",Back,,Compound,Bilateral,Lats,"Biceps, Mid Back",Upper Traps,,3,48-72 hours,High,Stable,Excellent,Good,No,Shortened Bias,Free Weight,No,Low,3.5-5 minutes,Zero axial loading,,
Chest Supported Dumbbell Row,Back,,Compound,Bilateral,"Lats, Mid Back:0.5","Biceps, Upper Traps:0.25",Rear Delts,,3,48-72 hours,High,Stable,Excellent,Good,Yes,Shortened Bias,Free Weight,No,Low,3.5-5 minutes,Zero axial loading,,
"Seated Cable Row, Underhand Grip",Back,,Compound,Bilateral,Lats,"Biceps, Mid Back",Upper Traps,,3,48-72 hours,High,Stable,Excellent,Good,Yes,Balanced,Cable,No,Low,3.5-5 minutes,,,
"Seated Cable Row, Wide Grip",Back,,Compound,Bilateral,"Rear Delts, Mid Back",Upper Traps:0.25,Biceps,,3,48-72 hours,High,Stable,Excellent,Good,Yes,Balanced,Cable,No,Low,3.5-5 minutes,,,
"Chest Supported Row Machine, Overhand Grip",Back,,Compound,Bilateral,"Mid Back, Upper Traps:0.25","Rear Delts, Lats",Biceps,,3,48-72 hours,High,Very Stable,Excellent,Good,Partial,Balanced,Machine,No,Low,3.5-5 minutes,,,
"Chest Supported Row Machine, Neutral Grip, Narrow",Back,,Compound,Bilateral,Lats,"Mid Back, Biceps",Upper Traps,,3,48-72 hours,High,Very Stable,Excellent,Good,Partial,Balanced,Machine,No,Low,3.5-5 minutes,,,
"Chest Supported Row Machine, Underhand Grip",Back,,Compound,Bilateral,Lats,"Biceps, Mid Back",Upper Traps,,3,48-72 hours,High,Very Stable,Excellent,Good,Partial,Balanced,Machine,No,Low,3.5-5 minutes,,,
"Chest Supported Row Machine, Wide Grip",Back,,Compound,Bilateral,"Rear Delts, Mid Back",Upper Traps:0.25,Biceps,,3,48-72 hours,High,Very Stable,Excellent,Good,Partial,Balanced,Machine,No,Low,3.5-5 minutes,,,
"Chest Supported Row Machine, Single Arm",Back,,Compound,Unilateral,"Lats, Mid Back:0.5","Biceps, Upper Traps:0.25",Rear Delts,,3,48-72 hours,High,Very Stable,Excellent,Good,Partial,Balanced,Machine,No,Low,3.5-5 minutes,,,
"Inverted Row, Overhand Grip",Back,,Compound,Bilateral,"Mid Back, Upper Traps:0.25","Rear Delts, Lats","Biceps, Rectus Abdominis",,2,24-48 hours,Low,Moderate,High,Good,No,Balanced,Bodyweight,No,Low,2-3 minutes,,,
"Inverted Row, Underhand Grip",Back,,Compound,Bilateral,Lats,"Biceps, Mid Back","Upper Traps, Rectus Abdominis",,2,24-48 hours,Low,Moderate,High,Good,No,Balanced,Bodyweight,No,Low,2-3 minutes,,,
Lat Pulldown - Wide Grip,Back,,Compound,Bilateral,"Lats, Teres Major:0.5",Rhomboids:0.25,"Rear Delts, Biceps, Upper Traps:0.125",,3,48-72 hours,High,Stable,Excellent,Good,Partial,Balanced,Cable,No,Low,3.5-5 minutes,,,
